Artname,Abflugszeitraum,Ankunftszeitraum ,zieht nach,Brutvogel,Durchz체gler,Wintergast,Kurzstreckenzieher,Langstreckenzieher,Teilzieher,avg_comf_temp_low,avg_comf_temp_high,Season
Klappe-grasm웒ke,August,April,Ostafrika,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Uferschwalbe,August,April,Sahel und Ostafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Garten-grasm웒ke,August,Mai,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Wiespenbussard,August,Mai,Tropsches Afrika,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Alpensegler,August,M둹z,Tropsches Afrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Nachtigall,August,April,Tropsches Afrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Rauchschwalbe,August,M둹z,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Wiesenweihle,August,April,S체dlich der Sahara,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Zwerg-strandl둼fer,August,N/A,S체dlich der Sahara bis Indien,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Wachtel,August,April,Saheizone,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Wendehals,August,April,"Sahel,  Mittelmeerraum",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Schafstelze,August,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Turteltaube,August,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Baumpieper,August,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Rohrwehle,August,M둹z,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Kampfl둼fer,August,April,"S체dlich der Sahara,  Mittel-meerraum",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Baumfalke,September,April,Tropsches Afrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Steinschm둻zer,September,August,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,18,28,Sommer
M쉗chs-grasm웒ke,September,M둹z,West- und Ostafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Schwarz-kehlchen,September,M둹z,West- und S체deuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,28,Fr웘ling - Sommer
Alpen-strandl둼fer,September,September,Mittelmeerraum und Nordafrika,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8,28,Sommer - Herbst
Mehlschwalbe,September,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
